# Repo path prefix -> wiki pages -> authoritative repo docs.
# One source of truth: survey.sh reads this, references/page-map.md explains it.
# Columns are TAB separated. Longest matching prefix wins; a file may match several rows.
# Prefixes are matched against forward-slash repo-relative paths.
obj/+gui/@BoxGUI	Building-a-Box-GUI, Box-GUI-Components, GUI-Framework-Internals	documentation/gui/gui_BoxGUI.md
obj/+gui/@SelfTest	RunExpt-SelfTest, Troubleshooting	documentation/overviews/RunExpt_SelfTest.md
obj/+gui/@PopOut	Box-GUI-Components, GUI-Framework-Internals	documentation/gui/gui_PopOut.md
obj/+gui/@SyringePump	Box-GUI-Components, Video-and-Peripherals	documentation/gui/gui_SyringePump.md
obj/+gui/@ParameterDebugger	Box-GUI-Components, GUI-Framework-Internals, Troubleshooting	documentation/gui/gui_ParameterDebugger.md
obj/+gui/@SubjectManager	Subjects-and-Projects, Subject-Roster-Internals	documentation/gui/gui_SubjectManager.md
obj/+gui/@VlcRecorderSetup	Video-and-Peripherals	documentation/gui/VlcRecorderSetup.md
obj/+gui/	Box-GUI-Components, GUI-Framework-Internals, Training-and-Online-Analysis	documentation/gui/
obj/+hw/@NE1000	Video-and-Peripherals, Hardware-Abstraction-Layer	documentation/hw/hw_NE1000.md
obj/+hw/@Interface	Hardware-Abstraction-Layer, Writing-a-Hardware-Backend	documentation/hw/hw_Interface.md, documentation/hw/hw_Interface_Tutorial.md
obj/+hw/@Parameter	Hardware-Abstraction-Layer, Designing-Protocols	documentation/hw/hw_Parameter.md
obj/+hw/	Hardware-Abstraction-Layer, Writing-a-Hardware-Backend	documentation/hw/
obj/+epsych/@RunExpt	Running-a-Session, RunExpt-GUI-Overview	documentation/overviews/RunExpt_GUI_Overview.md
obj/+epsych/@ProtocolDesigner	Designing-Protocols	documentation/design/ProtocolDesigner.md, documentation/design/ProtocolDesigner_UserGuide.md
obj/+epsych/@Protocol	Protocol-Internals, Designing-Protocols	documentation/epsych/epsych_Protocol.md
obj/+epsych/@Runtime	Runtime-and-Events, Trial-Lifecycle, Parameter-Files-and-Phases	documentation/epsych/epsych_Runtime.md
obj/+epsych/@SelfTest	RunExpt-SelfTest, Troubleshooting	documentation/overviews/RunExpt_SelfTest.md
obj/+epsych/@SubjectRoster	Subject-Roster-Internals, Subjects-and-Projects	documentation/epsych/epsych_SubjectRoster.md
obj/+epsych/@TrialJournal	Data-and-Save-Functions, Trial-Lifecycle	documentation/epsych/epsych_TrialJournal.md
obj/+epsych/@TrialSelector	Trial-Selectors	documentation/epsych/epsych_TrialSelector.md
obj/+epsych/@Helper	Runtime-and-Events	documentation/epsych/Event_Notifications.md
obj/+epsych/	Runtime-and-Events, Protocol-Internals	documentation/epsych/
obj/+psychophysics/	Psychophysics-Framework, Training-and-Online-Analysis	documentation/psychophysics/
obj/+stimbridge/	Stimgen-Integration, Stimuli-and-Calibration	documentation/stimgen.md
obj/stimgen	Stimgen-Integration, Stimuli-and-Calibration	documentation/stimgen.md (submodule docs are authoritative)
obj/+teensy/	Teensy-Trial-Designer, Teensy-Program-Model	documentation/teensy/, documentation/hw/hw_Teensy_Program_Protocol.md
obj/+eplog/	Troubleshooting, Contributing-and-Conventions	documentation/eplog/eplog_Logging.md
obj/+peripherals/	Video-and-Peripherals	documentation/peripherals/
runtime/timerfcns/	Trial-Lifecycle, Runtime-and-Events	documentation/epsych/epsych_TrialLifecycle.md
runtime/savefcns/	Data-and-Save-Functions	documentation/cl/cl_SaveDataFcn.md
runtime/guis/	Building-a-Box-GUI, GUI-Framework-Internals	documentation/design/Customized_GUI_Instructions.md
helpers/vprintf.m	Troubleshooting, Contributing-and-Conventions	documentation/helpers/helpers_vprintf.md
helpers/EPsychInfo	Installation-and-Setup, Installation-Guide	documentation/epsych/EPsychInfo.md
epsych_startup.m	Installation-and-Setup, Installation-Guide, Quick-Start	documentation/overviews/Installation_Guide.md
examples/customgui/	Building-a-Box-GUI, Generating-a-Box-GUI-with-AI	documentation/design/Customized_GUI_Instructions.md
examples/detection_task/	Quick-Start, Training-and-Online-Analysis	documentation/examples/
examples/first_experiment/	Your-First-Experiment, First-Experiment-Protocol, First-Experiment-Box-GUI, First-Experiment-Running, First-Experiment-Data	documentation/examples/First_Experiment_Walkthrough.md
examples/two_afc/	Two-AFC-Task	documentation/examples/Two_AFC_Walkthrough.md
examples/	Quick-Start	documentation/examples/
cl/	Data-and-Save-Functions	documentation/cl/
firmware/	Teensy-Program-Model	documentation/hw/hw_Teensy_Program_Protocol.md
TDTfun/	Hardware-Abstraction-Layer	documentation/hw/hw_Interface.md
design/	Designing-Protocols, Protocol-Internals	documentation/design/
documentation/overviews/	MIRROR: the same-named wiki page	(this file IS the authority)
CLAUDE.md	Developer-Orientation, Contributing-and-Conventions	CLAUDE.md
